name,form,dose
ABACAVIR,Tablet,300 MG
ABACAVIR,Solution,20 MG/ML
ABACAVIR-LAMIVUDINE,Tablet,600-300MG
ABANATUSS PED,Liquid,2-60-25 MG
ABANATUSS PED,Drops,0.5-15MG/1
ABECMA,PLAST. BAG,460X10EXP6
ABELCET,VIAL,5 MG/ML
ABILIFY,Tablet,5 MG
ABILIFY,Tablet,2 MG
ABILIFY,Tablet,10 MG
ABILIFY,Tablet,15 MG
ABILIFY,Tablet,20 MG
ABILIFY,Tablet,30 MG
ABILIFY,Solution,1 MG/ML
ABILIFY MAINTENA,SUSER SYR,400 MG
ABILIFY MAINTENA,SUSER SYR,300 MG
ABILIFY MAINTENA,SUSER VIAL,400 MG
ABILIFY MAINTENA,SUSER VIAL,300 MG
ABILIFY MYCITE,TAB SENSPT,2 MG
ABILIFY MYCITE,TAB SENSPT,5 MG
ABILIFY MYCITE,TAB SENSPT,10 MG
ABILIFY MYCITE,TAB SENSPT,15 MG
ABILIFY MYCITE,TAB SENSPT,20 MG
ABILIFY MYCITE,TAB SENSPT,30 MG
ABILIFY MYCITE,TABSENSTPD,15 MG
ABILIFY MYCITE,TABSENSTPD,5 MG
ABILIFY MYCITE,TABSENSTPD,10 MG
ABILIFY MYCITE,TABSENSTPD,20 MG
ABILIFY MYCITE,TABSENSTPD,2 MG
ABILIFY MYCITE,TABSENSTPD,30 MG
ABILIFY MYCITE,TABSENSSTR,15 MG
ABILIFY MYCITE,TABSENSSTR,5 MG
ABILIFY MYCITE,TABSENSSTR,2 MG
ABILIFY MYCITE,TABSENSSTR,30 MG
ABILIFY MYCITE,TABSENSSTR,20 MG
ABILIFY MYCITE,TABSENSSTR,10 MG
ABIRATERONE ACETATE,Tablet,250 MG
ABIRATERONE ACETATE,Tablet,500 MG
ABRAXANE,VIAL,100 MG
ABREVA,Cream (g),10 %
ABSORICA,Capsule,40 MG
ABSORICA,Capsule,30 MG
ABSORICA,Capsule,20 MG
ABSORICA,Capsule,10 MG
ABSORICA,Capsule,25 MG
ABSORICA,Capsule,35 MG
ABSORICA LD,Capsule,32 MG
ABSORICA LD,Capsule,8 MG
ABSORICA LD,Capsule,16 MG
ABSORICA LD,Capsule,24 MG
ACAM2000 (NATIONAL STOCKPILE),VIAL,1-5X10EXP8
ACAMPROSATE CALCIUM,TABLET DR,333 MG
ACANYA,Gel,1.2(1)%-5%
ACANYA,GEL W/PUMP,1.2%-2.5%
ACARBOSE,Tablet,50 MG
ACARBOSE,Tablet,25 MG
ACARBOSE,Tablet,100 MG
ACCOLATE,Tablet,20 MG
ACCOLATE,Tablet,10 MG
ACCRUFER,Capsule,30 MG
ACCUPRIL,Tablet,40 MG
ACCUPRIL,Tablet,20 MG
ACCUPRIL,Tablet,10 MG
ACCUPRIL,Tablet,5 MG
ACCURETIC,Tablet,20-12.5 MG
ACCURETIC,Tablet,20 MG-25MG
ACCURETIC,Tablet,10-12.5MG
ACCUTANE,Capsule,30 MG
ACCUTANE,Capsule,20 MG
ACCUTANE,Capsule,10 MG
ACCUTANE,Capsule,40 MG
ACEBUTOLOL HCL,Capsule,200 MG
ACEBUTOLOL HCL,Capsule,400 MG
ACEROLA C,Chewable Tablet,500 MG
ACEROLA C,WAFER,500 MG
ACETADOTE,VIAL,200 MG/ML
ACETADOTE,VIAL,100 MG/ML
ACETADRYL,Tablet,500MG-25MG
ACETADRYL,Tablet,250-250-38
ACETAMIN-CAFF-DIHYDROCODEINE,Capsule,320.5-30MG
ACETAMIN-CAFF-DIHYDROCODEINE,Tablet,325-30-16
ACETAMINOPHEN,Tablet,500 MG
ACETAMINOPHEN,Tablet,325 MG
ACETAMINOPHEN,Liquid,160 MG/5ML
ACETAMINOPHEN,Liquid,500MG/15ML
ACETAMINOPHEN,Solution,160 MG/5ML
ACETAMINOPHEN,Solution,650MG/20.3
ACETAMINOPHEN,Solution,325/10.15
ACETAMINOPHEN,SUPP.RECT,120 MG
ACETAMINOPHEN,SUPP.RECT,650 MG
ACETAMINOPHEN,Oral Suspension,160 MG/5ML
ACETAMINOPHEN,Oral Suspension,325/10.15
ACETAMINOPHEN,Oral Suspension,650MG/20.3
ACETAMINOPHEN,Capsule,325 MG
ACETAMINOPHEN,Capsule,500 MG
ACETAMINOPHEN,Chewable Tablet,325 MG
ACETAMINOPHEN,Chewable Tablet,160 MG
ACETAMINOPHEN,VIAL,1000MG/100
ACETAMINOPHEN,ELIXIR,160 MG/5ML
ACETAMINOPHEN,TAB RAPDIS,80 MG
ACETAMINOPHEN,TAB RAPDIS,160 MG
ACETAMINOPHEN,PIGGYBACK,1000MG/100
ACETAMINOPHEN,PIGGYBACK,500MG/50ML
ACETAMINOPHEN ER,Tablet,650 MG
ACETAMINOPHEN EXTRA STRENGTH,Tablet,500 MG
ACETAMINOPHEN PM,Tablet,500MG-25MG
ACETAMINOPHEN PM,Tablet,250-250-38
ACETAMINOPHEN PM XTRA STRENGTH,Tablet,500MG-25MG
ACETAMINOPHEN-CODEINE,Tablet,300MG-30MG
ACETAMINOPHEN-CODEINE,Tablet,300MG-60MG
ACETAMINOPHEN-CODEINE,Tablet,300MG-15MG
ACETAMINOPHEN-CODEINE,Solution,120-12MG/5
ACETAMINOPHEN-CODEINE,Solution,300MG/12.5
ACETAMINOPHEN-CODEINE,Solution,240-24/10
ACETAZOLAMIDE,Tablet,250 MG
ACETAZOLAMIDE,Tablet,125 MG
ACETAZOLAMIDE ER,Capsule ER,500 MG
ACETAZOLAMIDE SODIUM,VIAL,500 MG
ACETIC ACID,Solution,2 %
ACETIC ACID,IRRIG SOLN,0.25 %
ACETYLCYSTEINE,VIAL,200 MG/ML
ACETYLCYSTEINE,VIAL,100 MG/ML
ACID CONTROLLER,Tablet,10 MG
ACID CONTROLLER,Tablet,20 MG
ACID CONTROLLER COMPLETE,Chewable Tablet,10-800-165
ACID GONE,Chewable Tablet,105-160MG
ACID GONE ANTACID,Oral Suspension,358-95/15
ACID REDUCER,Tablet,10 MG
ACID REDUCER,Tablet,20 MG
ACID REDUCER,Tablet,200 MG
ACID REDUCER,Tablet,75 MG
ACID REDUCER,CAPSULE DR,20 MG
ACID REDUCER COMPLETE,Chewable Tablet,10-800-165
ACID-PEP,Tablet,20 MG
ACIDOPHILUS,Capsule,Not Applicable
ACIDOPHILUS,Capsule,100 MG
ACIDOPHILUS,Capsule,175 MG
ACIDOPHILUS,Capsule,100MM CELL
ACIDOPHILUS,Tablet,35MM-25MM
ACIDOPHILUS,Tablet,500MM CELL
ACIDOPHILUS,Tablet,1B CELL
ACIDOPHILUS,Tablet,2B CELL
ACIDOPHILUS,Chewable Tablet,Not Applicable
ACIDOPHILUS,CAPSULE DR,16 MG
ACIDOPHILUS LACTOBACILLI,Tablet,0.5 MG
ACIDOPHILUS LACTOBACILLI,Tablet,500MM-50MG
ACIDOPHILUS LACTOBACILLI,Capsule,500MM CELL
ACIDOPHILUS PROBIOTIC,Tablet,0.5 MG
ACIDOPHILUS PROBIOTIC,Tablet,500MM-50MG
ACIDOPHILUS PROBIOTIC,Capsule,500MM CELL
ACIPHEX,TABLET DR,20 MG
ACIPHEX,CAP DR SPR,10 MG
ACIPHEX SPRINKLE,CAP DR SPR,10 MG
ACIPHEX SPRINKLE,CAP DR SPR,5 MG
ACITRETIN,Capsule,25 MG
ACITRETIN,Capsule,10 MG
ACITRETIN,Capsule,17.5 MG
ACNE CONTROL CLEANSER,CLEANSER,10 %
