name,form
ABACAVIR,Tablet
ABACAVIR,Solution
ABACAVIR-LAMIVUDINE,Tablet
ABANATUSS PED,Liquid
ABANATUSS PED,Drops
ABECMA,PLAST. BAG
ABELCET,VIAL
ABILIFY,Tablet
ABILIFY,Solution
ABILIFY MAINTENA,SUSER SYR
ABILIFY MAINTENA,SUSER VIAL
ABILIFY MYCITE,TAB SENSPT
ABILIFY MYCITE,TABSENSTPD
ABILIFY MYCITE,TABSENSSTR
ABIRATERONE ACETATE,Tablet
ABRAXANE,VIAL
ABREVA,Cream (g)
ABSORICA,Capsule
ABSORICA LD,Capsule
ACAM2000 (NATIONAL STOCKPILE),VIAL
ACAMPROSATE CALCIUM,TABLET DR
ACANYA,Gel
ACANYA,GEL W/PUMP
ACARBOSE,Tablet
ACCOLATE,Tablet
ACCRUFER,Capsule
ACCUPRIL,Tablet
ACCURETIC,Tablet
ACCUTANE,Capsule
ACEBUTOLOL HCL,Capsule
ACEROLA C,Chewable Tablet
ACEROLA C,WAFER
ACETADOTE,VIAL
ACETADRYL,Tablet
ACETAMIN-CAFF-DIHYDROCODEINE,Capsule
ACETAMIN-CAFF-DIHYDROCODEINE,Tablet
ACETAMINOPHEN,Tablet
ACETAMINOPHEN,Liquid
ACETAMINOPHEN,Solution
ACETAMINOPHEN,SUPP.RECT
ACETAMINOPHEN,Oral Suspension
ACETAMINOPHEN,Capsule
ACETAMINOPHEN,Chewable Tablet
ACETAMINOPHEN,VIAL
ACETAMINOPHEN,ELIXIR
ACETAMINOPHEN,TAB RAPDIS
ACETAMINOPHEN,PIGGYBACK
ACETAMINOPHEN ER,Tablet
ACETAMINOPHEN EXTRA STRENGTH,Tablet
ACETAMINOPHEN PM,Tablet
ACETAMINOPHEN PM XTRA STRENGTH,Tablet
ACETAMINOPHEN-CODEINE,Tablet
ACETAMINOPHEN-CODEINE,Solution
ACETAZOLAMIDE,Tablet
ACETAZOLAMIDE ER,Capsule ER
ACETAZOLAMIDE SODIUM,VIAL
ACETIC ACID,Solution
ACETIC ACID,IRRIG SOLN
ACETYLCYSTEINE,VIAL
ACID CONTROLLER,Tablet
ACID CONTROLLER COMPLETE,Chewable Tablet
ACID GONE,Chewable Tablet
ACID GONE ANTACID,Oral Suspension
ACID REDUCER,Tablet
ACID REDUCER,CAPSULE DR
ACID REDUCER COMPLETE,Chewable Tablet
ACID-PEP,Tablet
ACIDOPHILUS,Capsule
ACIDOPHILUS,Tablet
ACIDOPHILUS,Chewable Tablet
ACIDOPHILUS,CAPSULE DR
ACIDOPHILUS LACTOBACILLI,Tablet
ACIDOPHILUS LACTOBACILLI,Capsule
ACIDOPHILUS PROBIOTIC,Tablet
ACIDOPHILUS PROBIOTIC,Capsule
ACIPHEX,TABLET DR
ACIPHEX,CAP DR SPR
ACIPHEX SPRINKLE,CAP DR SPR
ACITRETIN,Capsule
ACNE CONTROL CLEANSER,CLEANSER
ACNE CONTROL CLEANSER,Gel
ACNE CONTROL CLEANSER,Foam
ACNE CONTROL CLEANSER,TOWELETTE
ACNE FOAMING WASH,CLEANSER
ACNE FOAMING WASH,Gel
ACNE FOAMING WASH,Foam
ACNE FOAMING WASH,TOWELETTE
ACNE MEDICATION,CLEANSER
ACNE MEDICATION,Gel
ACNE MEDICATION,Foam
ACNE MEDICATION,TOWELETTE
ACTEMRA,Syringe
ACTEMRA,VIAL
ACTEMRA ACTPEN,PEN INJCTR
ACTHAR,VIAL
ACTHIB,VIAL
ACTICARNITINE SF,Tablet
ACTICARNITINE SF,Solution
ACTICLATE,Capsule
ACTICLATE,Tablet
ACTICLATE,TABLET DR
ACTICLATE,VIAL
ACTICON,Tablet
ACTICON,Solution
ACTIDOM DMX,Liquid
ACTIDOSE,Oral Suspension
ACTIDOSE-AQUA,Oral Suspension
ACTIMMUNE,VIAL
ACTINEL,Solution
ACTINEL PEDIATRIC,Liquid
ACTIQ,VIAL
